observation_date,NAEXKP01CAQ661S
1961-01-01,19.8774116634082
1961-04-01,20.3772998678265
1961-07-01,20.8695149015177
1961-10-01,21.1616614427259
1962-01-01,21.7219915903307
1962-04-01,21.8798576438146
1962-07-01,22.1669725976608
1962-10-01,22.6176141407731
1963-01-01,22.7532783150220
1963-04-01,23.0868725571250
1963-07-01,23.2642989064788
1963-10-01,23.9950111811305
1964-01-01,24.5897448073232
1964-04-01,24.6744012646895
1964-07-01,24.9338424880445
1964-10-01,25.0654184975617
1965-01-01,25.8527990248784
1965-04-01,26.0953215357285
1965-07-01,26.4478471252812
1965-10-01,27.0982426866664
1966-01-01,27.6164332901141
1966-04-01,28.1980218943235
1966-07-01,28.1872039814951
1966-10-01,28.5272763923267
1967-01-01,28.4611110185159
1967-04-01,29.0582346487056
1967-07-01,29.1550298105828
1967-10-01,29.2653473634954
1968-01-01,29.5028382869835
1968-04-01,30.3040556795458
1968-07-01,30.7132495217634
1968-10-01,31.1365947034367
1969-01-01,31.5400651150299
1969-04-01,31.6915787894693
1969-07-01,32.0258648748345
1969-10-01,32.4768837869991
1970-01-01,32.6819838668441
1970-04-01,32.6685243706506
1970-07-01,33.0018041385435
1970-10-01,33.0574660737360
1971-01-01,32.8594102161979
1971-04-01,33.8201918229787
1971-07-01,34.7522933817959
1971-10-01,35.1469585155056
1972-01-01,35.0100364444162
1972-04-01,36.0055360039951
1972-07-01,36.0874879831542
1972-10-01,36.9507825847956
1973-01-01,37.9250236877699
1973-04-01,38.3389346431394
1973-07-01,38.4688124919219
1973-10-01,39.1934239668972
1974-01-01,39.4788407600087
1974-04-01,39.9157083327175
1974-07-01,39.8687887805665
1974-10-01,39.6825571533291
1975-01-01,39.4140590727225
1975-04-01,39.9295451979631
1975-07-01,40.6750377604908
1975-10-01,41.1442961768427
1976-01-01,41.8594734255141
1976-04-01,42.7642157280502
1976-07-01,42.9504473552876
1976-10-01,43.0412046123304
1977-01-01,43.6359382385230
1977-04-01,43.8838697057874
1977-07-01,44.0950705853088
1977-10-01,44.7974172862071
1978-01-01,45.1806355586682
1978-04-01,45.5952383572999
1978-07-01,45.9238010120409
1978-10-01,46.3141264016509
1979-01-01,46.7125023310401
1979-04-01,47.3463565489726
1979-07-01,47.6527173244786
1979-10-01,47.9731665445983
1980-01-01,48.3122326379575
1980-04-01,48.2963202429250
1980-07-01,48.2309096072186
1980-10-01,48.9038844168909
1981-01-01,49.9908330767748
1981-04-01,50.5424208413380
1981-07-01,50.0895150839127
1981-10-01,49.8612697022024
1982-01-01,49.2681713419023
1982-04-01,48.7002309184125
1982-07-01,48.2708478319047
1982-10-01,47.8253636658384
1983-01-01,48.6119265602088
1983-04-01,49.5779913337197
1983-07-01,50.1397680626911
1983-10-01,50.7776475505132
1984-01-01,51.6484895331976
1984-04-01,52.6587693806525
1984-07-01,52.8822347543689
1984-10-01,53.7157172008902
1985-01-01,54.5316519864864
1985-04-01,54.7068141215273
1985-07-01,55.3994121219116
1985-10-01,56.2517630210405
1986-01-01,56.2393098423195
1986-04-01,56.5630924890665
1986-07-01,56.6352328728697
1986-10-01,56.2272340326506
1987-01-01,57.5294088419456
1987-04-01,58.2753416683674
1987-07-01,59.1680710560767
1987-10-01,59.9363315514176
1988-01-01,60.8130227544104
1988-04-01,61.3533523422511
1988-07-01,61.3583839296131
1988-10-01,61.7895280716976
1989-01-01,62.4942647765928
1989-04-01,62.7343343886040
1989-07-01,62.9607558198956
1989-10-01,62.8258463837510
1990-01-01,63.4155484225816
1990-04-01,63.1518932448109
1990-07-01,62.6986101183335
1990-10-01,62.1365818099940
1991-01-01,61.2375629380822
1991-04-01,61.5176336696216
1991-07-01,61.5961893273114
1991-10-01,61.7071987234863
1992-01-01,61.7477658965927
1992-04-01,61.8221075998668
1992-07-01,62.1548213141814
1992-10-01,62.5065292707878
1993-01-01,62.9044020414408
1993-04-01,63.4766822090304
1993-07-01,64.0828626964717
1993-10-01,64.3584678942272
1994-01-01,65.3054755306045
1994-04-01,66.2624834468638
1994-07-01,67.1089851256844
1994-10-01,67.5959169926454
1995-01-01,68.2194564564857
1995-04-01,68.2426646531931
1995-07-01,68.3318495391852
1995-10-01,68.6089013183073
1996-01-01,68.6515440212006
1996-04-01,69.1294190309100
1996-07-01,69.7359139925614
1996-10-01,70.2905207095419
1997-01-01,71.2179680500492
1997-04-01,72.0199401807158
1997-07-01,72.8804045144660
1997-10-01,73.5789146300006
1998-01-01,74.6106416185862
1998-04-01,74.6430953570713
1998-07-01,75.3355046729295
1998-10-01,76.3532061117434
1999-01-01,77.7370813208294
1999-04-01,78.3899297810536
1999-07-01,79.6110331389778
1999-10-01,80.7426371366997
2000-01-01,82.0312895549592
2000-04-01,83.0084867155087
2000-07-01,83.8470007493920
2000-10-01,83.9962502095184
2001-01-01,84.4333693615954
2001-04-01,84.6512999892135
2001-07-01,84.5872101451896
2001-10-01,85.1057781176894
2002-01-01,86.3736752380806
2002-04-01,86.8660160614558
2002-07-01,87.6249681201769
2002-10-01,88.1103276160874
2003-01-01,88.5957500068398
2003-04-01,88.4642997870066
2003-07-01,88.7977682394256
2003-10-01,89.4066532050740
2004-01-01,90.0512624409928
2004-04-01,91.1160721164838
2004-07-01,92.1993099806881
2004-10-01,92.8612152981640
2005-01-01,93.1778908277622
2005-04-01,93.8412427266046
2005-07-01,94.9961178158760
2005-10-01,95.9369617577347
2006-01-01,96.7059140963379
2006-04-01,96.7525820691208
2006-07-01,97.0214575187796
2006-10-01,97.3874426045257
2007-01-01,98.0171457628846
2007-04-01,98.9631470817894
2007-07-01,99.3743535589518
2007-10-01,99.5135398443541
2008-01-01,99.5725352061740
2008-04-01,99.9180165734198
2008-07-01,100.7514990199410
2008-10-01,99.5862462817356
2009-01-01,97.3108366869387
2009-04-01,96.2370959438802
2009-07-01,96.6725798300644
2009-10-01,97.8145614767206
2010-01-01,98.9798771097682
2010-04-01,99.4888221714381
2010-07-01,100.1992823069580
2010-10-01,101.3320184118360
2011-01-01,102.0812217700430
2011-04-01,102.2751265680080
2011-07-01,103.6946002576800
2011-10-01,104.5139313647460
2012-01-01,104.5472656310190
2012-04-01,104.8923696292130
2012-07-01,105.0992307646350
2012-10-01,105.2274104526820
2013-01-01,106.3117804240430
2013-04-01,107.0009821029580
2013-07-01,107.8777362007930
2013-10-01,108.9650622297290
2014-01-01,109.1006635091360
2014-04-01,110.4084988542130
2014-07-01,111.2126094095090
2014-10-01,111.7177807806570
2015-01-01,111.4941267224150
2015-04-01,111.3328014526190
2015-07-01,111.9623788212940
2015-10-01,112.0787342790410
2016-01-01,112.7695083290070
2016-04-01,112.4739654663290
2016-07-01,113.6563884964080
2016-10-01,114.2872237619230
2017-01-01,115.4156201227020
2017-04-01,116.7089896541130
2017-07-01,117.1876194019270
2017-10-01,117.6851804971900
2018-01-01,118.0780216804810